bonobo,borangutan,chimpanzee,gibbon,gorilla,human,sorangutan
Glycerophospholipid metabolism,mTOR signaling pathway,Cytoskeleton in muscle cells,Hippo signaling pathway,Glycerophospholipid metabolism,Human papillomavirus infection,mTOR signaling pathway
Axon guidance,Breast cancer,PI3K-Akt signaling pathway,Gastric cancer,Carbon metabolism,Cytoskeleton in muscle cells,Proteoglycans in cancer
Gastric cancer,Gastric cancer,cAMP signaling pathway,Breast cancer,Hepatocellular carcinoma,Human cytomegalovirus infection,MicroRNAs in cancer
Signaling pathways regulating pluripotency of stem cells,Proteoglycans in cancer,MAPK signaling pathway,Proteoglycans in cancer,Chemokine signaling pathway,Lipid and atherosclerosis,Hippo signaling pathway
Oxytocin signaling pathway,Hippo signaling pathway,Hormone signaling,Focal adhesion,Cytoskeleton in muscle cells,Human immunodeficiency virus 1 infection,cGMP-PKG signaling pathway
cGMP-PKG signaling pathway,Cytoskeleton in muscle cells,Human papillomavirus infection,Wnt signaling pathway,Efferocytosis,Focal adhesion,Focal adhesion
Cytoskeleton in muscle cells,Wnt signaling pathway,Reg. of actin cytoskeleton,MAPK signaling pathway,Growth hormone synthesis secretion and action,MAPK signaling pathway,Reg. of actin cytoskeleton
Calcium signaling pathway,Cell cycle,Human cytomegalovirus infection,Cytoskeleton in muscle cells,MAPK signaling pathway,Cytokine-cytokine receptor interaction,MAPK signaling pathway
Endocytosis,MAPK signaling pathway,Rap1 signaling pathway,Reg. of actin cytoskeleton,Endocytosis,Neuroactive ligand-receptor interaction,Cytoskeleton in muscle cells
cAMP signaling pathway,MicroRNAs in cancer,Calcium signaling pathway,Human papillomavirus infection,FoxO signaling pathway,Salmonella infection,Calcium signaling pathway
MAPK signaling pathway,Focal adhesion,Ras signaling pathway,Rap1 signaling pathway,MicroRNAs in cancer,Reg. of actin cytoskeleton,cAMP signaling pathway
Reg. of actin cytoskeleton,Reg. of actin cytoskeleton,Neuroactive ligand-receptor interaction,Axon guidance,Neuroactive ligand-receptor interaction,Pathways in cancer,Rap1 signaling pathway
Neuroactive ligand-receptor interaction,cAMP signaling pathway,Pathways in cancer,Ras signaling pathway,Reg. of actin cytoskeleton,cAMP signaling pathway,Pathways in cancer
Focal adhesion,Calcium signaling pathway,Endocytosis,cAMP signaling pathway,Calcium signaling pathway,PI3K-Akt signaling pathway,Endocytosis
Ras signaling pathway,Neuroactive ligand-receptor interaction,Cytokine-cytokine receptor interaction,PI3K,Focal adhesion,Calcium signaling pathway,Ras signaling pathway
Human papillomavirus infection,Endocytosis,Salmonella infection,Pathways in cancer,Human papillomavirus infection,Endocytosis,Neuroactive ligand-receptor interaction
Cytokine-cytokine receptor interaction,PI3K-Akt signaling pathway,Metabolic pathways,Human T,cAMP signaling pathway,Ras signaling pathway,Salmonella infection
Pathways in cancer,Pathways in cancer,Coronavirus disease-COVID-19,Cytokine,Pathways in cancer,Coronavirus disease-COVID-19,PI3K-Akt signaling pathway
PI3K-Akt signaling pathway,Human papillomavirus infection,Pathways of neurodegeneration-multiple diseases,Metabolic pathways,Metabolic pathways,Metabolic pathways,Human papillomavirus infection
Metabolic pathways,Metabolic pathways,Alzheimer disease,Pathways of neurodegeneration,PI3K-Akt signaling pathway,Pathways of neurodegeneration-multiple diseases,Metabolic pathways
