species	seq_type	N	min	max	mean	q1	median	q3
human	intron	217292	-1	1	0	0	0	0.1
human	downstream	205741	-1	1	0.3	0	0.2	0.7
human	exitron	2566	-1	0.8	0	-0.2	0	0.2
human	exon	89905	-1	1	0	0	0	0.1
human	upstream	213772	-1	1	-0.1	-0.3	-0.1	0.1
bonobo	downstream	194010	-1	1	0.3	0	0.2	0.7
bonobo	intron	205919	-1	1	0	0	0	0.1
bonobo	upstream	197542	-1	1	-0.1	-0.3	-0.1	0.1
bonobo	exon	60254	-1	0.9	0	0	0	0.1
bonobo	exitron	2331	-0.9	0.8	0	-0.2	0	0.2
chimpanzee	upstream	202823	-1	1	-0.1	-0.3	-0.1	0.1
chimpanzee	intron	211926	-1	1	0	0	0	0.1
chimpanzee	exitron	2357	-0.9	0.7	0	-0.2	0	0.2
chimpanzee	exon	74244	-1	0.9	0	0	0	0.1
chimpanzee	downstream	198674	-1	1	0.3	0	0.2	0.7
gorilla	downstream	194182	-1	1	0.3	0	0.2	0.7
gorilla	exon	59557	-1	0.9	0	0	0	0.1
gorilla	intron	206573	-1	1	0	0	0	0.1
gorilla	exitron	2367	-1	0.9	0	-0.1	0	0.2
gorilla	upstream	197026	-1	1	-0.1	-0.3	-0.1	0.1
borangutan	exon	58777	-1	0.9	0	0	0	0.1
borangutan	exitron	2396	-0.9	0.9	0	-0.2	0	0.2
borangutan	downstream	193675	-1	1	0.3	0	0.2	0.7
borangutan	upstream	195908	-1	1	-0.1	-0.3	-0.1	0.1
borangutan	intron	206612	-1	1	0	0	0	0.1
sorangutan	intron	206242	-1	1	0	0	0	0.1
sorangutan	exon	60106	-1	1	0	0	0	0.1
sorangutan	downstream	193201	-1	1	0.3	0	0.2	0.7
sorangutan	exitron	2399	-1	0.7	0	-0.2	0	0.2
sorangutan	upstream	195861	-1	1	-0.1	-0.3	-0.1	0.1
gibbon	upstream	200087	-1	1	-0.1	-0.3	-0.1	0.1
gibbon	intron	213838	-1	1	0	0	0	0.1
gibbon	exon	68038	-1	0.9	0	0	0	0.1
gibbon	exitron	2663	-0.9	1	0	-0.2	0	0.2
gibbon	downstream	195680	-1	1	0.3	0	0.2	0.7
