species	seq_type	N	min	max	mean	q1	median	q3
human	intron	217292	0	100	54.2	47.1	56.4	62.2
human	downstream	205741	0	100	44	33.3	47.2	61
human	exitron	2566	10.7	83	36.8	30.7	35.9	40.9
human	exon	89905	16.7	88.9	48.1	41.3	48.6	55
human	upstream	213772	0	100	52.1	39.7	51.9	65
bonobo	downstream	194010	0	100	43.9	33.3	47.1	61
bonobo	intron	205919	0	100	54.1	46.9	56.3	62.2
bonobo	upstream	197542	0	100	51.9	39.3	51.7	65.2
bonobo	exon	60254	18.8	73	47.3	40.5	47.6	54.4
bonobo	exitron	2331	6.6	79.3	36.6	30.5	35.4	41
chimpanzee	upstream	202823	0	100	52	39.6	51.9	65.1
chimpanzee	intron	211926	0	100	54.2	47	56.4	62.2
chimpanzee	exitron	2357	10.2	81.9	36.7	30.6	35.5	41
chimpanzee	exon	74244	19.4	73	48	41.1	48.6	55.1
chimpanzee	downstream	198674	0	100	44	33.3	47.2	61.1
gorilla	downstream	194182	0	100	44	33.3	47.1	61
gorilla	exon	59557	16.2	74.4	47.5	40.7	48	54.6
gorilla	intron	206573	0	100	54.1	46.9	56.3	62.1
gorilla	exitron	2367	10.1	81.9	36.9	30.9	35.6	40.9
gorilla	upstream	197026	0	100	52	39.4	51.7	65.1
borangutan	exon	58777	19.1	72.3	47.7	40.8	48.1	54.6
borangutan	exitron	2396	10.6	80.6	37.7	31.6	36.3	42
borangutan	downstream	193675	0	100	44.1	33.3	47.2	61.1
borangutan	upstream	195908	0	100	52.1	39.5	51.9	65.2
borangutan	intron	206612	0	100	54.2	47	56.4	62.2
sorangutan	intron	206242	0	100	54.3	47.1	56.5	62.3
sorangutan	exon	60106	18.3	72.3	47.8	41	48.3	54.8
sorangutan	downstream	193201	0	100	44.2	33.3	47.4	61.1
sorangutan	exitron	2399	11	80.6	37.7	31.7	36.3	42
sorangutan	upstream	195861	0	100	52.2	39.6	52	65.2
gibbon	upstream	200087	0	100	51.9	39.4	51.6	64.9
gibbon	intron	213838	0	100	54	46.8	56.1	61.9
gibbon	exon	68038	17.1	71.6	47.7	41	48.2	54.7
gibbon	exitron	2663	12.4	80	37.4	31	36.4	42.1
gibbon	downstream	195680	0	100	44	33.3	47	60.8
