species	seq_type	N	min	max	mean	q1	median	q3
human	intron	217292	0	16.5	4.5	4.1	4.7	5
human	downstream	205741	0	41	3	0	3.3	4.2
human	exitron	2566	0	10.3	2.9	3	3.2	3.7
human	exon	89905	0	8	3.9	3.6	3.9	4.1
human	upstream	213772	0	50	3.8	3	3.8	4.8
bonobo	downstream	194010	0	57	3	0	3.3	4.2
bonobo	intron	205919	0	16	4.5	4	4.6	5
bonobo	upstream	197542	0	51	3.8	3	3.8	4.8
bonobo	exon	60254	0	8.8	3.8	3.6	3.9	4.1
bonobo	exitron	2331	0	9.1	2.9	3	3	3.7
chimpanzee	upstream	202823	0	60	3.8	3	3.8	4.8
chimpanzee	intron	211926	0	16.2	4.5	4	4.7	5
chimpanzee	exitron	2357	0	9.1	2.9	3	3.1	3.7
chimpanzee	exon	74244	0	7.2	3.9	3.6	3.9	4.1
chimpanzee	downstream	198674	0	41	3	0	3.3	4.2
gorilla	downstream	194182	0	58	3	0	3.3	4.2
gorilla	exon	59557	0	6.5	3.8	3.6	3.9	4.1
gorilla	intron	206573	0	40	4.5	4	4.6	5
gorilla	exitron	2367	0	8	3	3	3.2	3.7
gorilla	upstream	197026	0	50	3.8	3	3.8	4.8
borangutan	exon	58777	0	6.1	3.9	3.6	3.9	4.1
borangutan	exitron	2396	0	8.6	3	3	3.2	3.7
borangutan	downstream	193675	0	41	3	0	3.3	4.2
borangutan	upstream	195908	0	42	3.8	3	3.8	4.8
borangutan	intron	206612	0	30.7	4.5	4	4.6	5
sorangutan	intron	206242	0	23.2	4.5	4	4.7	5
sorangutan	exon	60106	0	6.7	3.9	3.6	3.9	4.1
sorangutan	downstream	193201	0	40	3	0	3.3	4.2
sorangutan	exitron	2399	0	8.6	3	3	3.2	3.7
sorangutan	upstream	195861	0	48	3.8	3	3.8	4.8
gibbon	upstream	200087	0	43	3.8	3	3.8	4.8
gibbon	intron	213838	0	16	4.5	4	4.7	5
gibbon	exon	68038	0	7	3.9	3.6	3.9	4.1
gibbon	exitron	2663	0	10.8	2.9	3	3	3.7
gibbon	downstream	195680	0	41	3	0	3.3	4.2
