bonobo,borangutan,chimpanzee,gibbon,gorillla,human,sorangutan
TNF signaling pathway,AMPK signaling pathway,TNF signaling pathway,AMPK signaling pathway,Glycerophospholipid metabolism,Metabolic pathways,AMPK signaling pathway
Thyroid hormone signaling pathway,Thyroid hormone signaling pathway,Adrenergic signaling in cardiomyocytes,TNF signaling pathway,Efferocytosis,Pathways in cancer,Thyroid hormone signaling pathway
Insulin resistance,Breast cancer,cGMP-PKG signaling pathway,Breast cancer,Parathyroid hormone synthesis secretion and action,Neuroactive ligand-receptor interaction,mTOR signaling pathway
cGMP-PKG signaling pathway,TNF signaling pathway,Biosynthesis of cofactors,MAPK signaling pathway,Carbon metabolism,Human papillomavirus infection,Biosynthesis of cofactors
Relaxin signaling pathway,mTOR signaling pathway,Human cytomegalovirus infection,Ras signaling pathway,Yersinia infection,Human cytomegalovirus infection,Wnt signaling pathway
Calcium signaling pathway,Wnt signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Hippo signaling pathway,MAPK signaling pathway,MAPK signaling pathway,Insulin signaling pathway
Axon guidance,Insulin signaling pathway,Calcium signaling pathway,Wnt signaling pathway,cAMP signaling pathway,PI3K-Akt signaling pathway,Breast cancer
Oxytocin signaling pathway,Efferocytosis,cAMP signaling pathway,Human papillomavirus infection,Calcium signaling pathway,Cytokine-cytokine receptor interaction,Adrenergic signaling in cardiomyocytes
MAPK signaling pathway,MAPK signaling pathway,Human papillomavirus infection,Rap1 signaling pathway,Cytoskeleton in muscle cells,Kaposi sarcoma-associated herpesvirus infection,cAMP signaling pathway
Efferocytosis,Adrenergic signaling in cardiomyocytes,Rap1 signaling pathway,cAMP signaling pathway,Chemokine signaling pathway,Biosynthesis of cofactors,MAPK signaling pathway
cAMP signaling pathway,Calcium signaling pathway,MAPK signaling pathway,Axon guidance,Hormone signaling,Rap1 signaling pathway,Transcriptional misregulation in cancer
Cytoskeleton in muscle cells,cAMP signaling pathway,PI3K-Akt signaling pathway,PI3K,cGMP-PKG signaling pathway,Lipid and atherosclerosis,Calcium signaling pathway
Neuroactive ligand-receptor interaction,Proteoglycans in cancer,Cytoskeleton in muscle cells,Pathways in cancer,Neuroactive ligand-receptor interaction,Hormone signaling,Neuroactive ligand-receptor interaction
Ras signaling pathway,Cytoskeleton in muscle cells,Ras signaling pathway,Focal adhesion,Endocytosis,Human immunodeficiency virus 1 infection,Ras signaling pathway
Rap1 signaling pathway,Neuroactive ligand-receptor interaction,Neuroactive ligand-receptor interaction,Calcium signaling pathway,Reg. of actin cytoskeleton,Cytoskeleton in muscle cells,Cytoskeleton in muscle cells
Endocytosis,Ras signaling pathway,Coronavirus disease-COVID-19,Reg. of actin cytoskeleton,Metabolic pathways,Pathways of neurodegeneration-multiple diseases,Human papillomavirus infection
Human papillomavirus infection,Hormone signaling,Pathways in cancer,Endocytosis,Pathways in cancer,Calcium signaling pathway,Cytokine-cytokine receptor interaction
PI3K-Akt signaling pathway,Human papillomavirus infection,Pathways of neurodegeneration-multiple diseases,Cytoskeleton in muscle cells,,Ras signaling pathway,Pathways in cancer
Pathways in cancer,Pathways in cancer,Metabolic pathways,Pathways of neurodegeneration,,Chemokine signaling pathway,PI3K-Akt signaling pathway
Metabolic pathways,PI3K-Akt signaling pathway,Alzheimer disease,Metabolic pathways,,Neutrophil extracellular trap formation,Metabolic pathways
